"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"1",1,"MTH","C",12,"N",1,1,5.6
"2",1,"Hiline","D",12,"N",1,1,8.3
"3",1,"Hiline","F",12,"N",1,1,8.2
"4",1,"Vida","F",12,"N",1,1,NA
"5",1,"MTH","H",12,"N",1,1,6.2
"6",1,"MTH","S",12,"N",1,1,8.8
"7",1,"Vida","S",12,"N",1,1,7
"8",1,"Berkut","C",14,"N",1,1,8.5
"9",1,"Hiline","C",14,"N",1,1,NA
"10",1,"Vida","D",14,"N",1,1,6.8
"11",1,"MTH","F",14,"N",1,1,5.2
"12",1,"Hiline","H",14,"N",1,1,5.2
"13",1,"Vida","H",14,"N",1,1,6.7
"14",1,"Hiline","S",14,"N",1,1,4.8
"15",1,"Vida","D",12,"Y",1,1,NA
"16",1,"MTH","F",12,"Y",1,1,7
"17",1,"Hiline","H",12,"Y",1,1,NA
"18",1,"Vida","H",12,"Y",1,1,9.5
"19",1,"Hiline","S",12,"Y",1,1,6
"20",1,"MTH","C",14,"Y",1,1,NA
"21",1,"Vida","C",14,"Y",1,1,NA
"22",1,"Hiline","D",14,"Y",1,1,6.5
"23",1,"Hiline","F",14,"Y",1,1,NA
"24",1,"Vida","F",14,"Y",1,1,NA
"25",1,"MTH","S",14,"Y",1,1,4.2
"26",1,"Vida","S",14,"Y",1,1,NA
"27",1,"MTH","C",12,"N",2,1,6.3
"28",1,"Vida","C",12,"N",2,1,NA
"29",1,"Hiline","D",12,"N",2,1,8.3
"30",1,"MTH","H",12,"N",2,1,2.9
"31",1,"Hiline","C",14,"N",2,1,NA
"32",1,"MTH","D",14,"N",2,1,7.7
"33",1,"Vida","D",14,"N",2,1,5.7
"34",1,"Berkut","F",14,"N",2,1,9
"35",1,"MTH","F",14,"N",2,1,8.4
"36",1,"Hiline","H",14,"N",2,1,6.9
"37",1,"Vida","H",14,"N",2,1,6.7
"38",1,"Hiline","S",14,"N",2,1,NA
"39",1,"Hiline","C",12,"Y",2,1,NA
"40",1,"MTH","D",12,"Y",2,1,6.8
"41",1,"Vida","D",12,"Y",2,1,9.1
"42",1,"MTH","F",12,"Y",2,1,6.3
"43",1,"Hiline","H",12,"Y",2,1,NA
"44",1,"Vida","H",12,"Y",2,1,3.4
"45",1,"MTH","C",14,"Y",2,1,4.2
"46",1,"Vida","C",14,"Y",2,1,7
"47",1,"Hiline","D",14,"Y",2,1,6.5
"48",1,"Hiline","F",14,"Y",2,1,NA
"49",1,"Vida","F",14,"Y",2,1,7.8
"50",1,"Berkut","H",14,"Y",2,1,4.5
"51",1,"Vida","S",14,"Y",2,1,7.6
"52",1,"Vida","C",12,"N",3,1,8
"53",1,"Hiline","D",12,"N",3,1,9.2
"54",1,"Hiline","F",12,"N",3,1,8.4
"55",1,"Vida","F",12,"N",3,1,8.3
"56",1,"MTH","H",12,"N",3,1,6.3
"57",1,"Hiline","C",14,"N",3,1,NA
"58",1,"MTH","D",14,"N",3,1,6.3
"59",1,"Vida","D",14,"N",3,1,8.2
"60",1,"MTH","F",14,"N",3,1,8.1
"61",1,"Hiline","H",14,"N",3,1,6
"62",1,"Vida","H",14,"N",3,1,7.2
"63",1,"Hiline","S",14,"N",3,1,6.3
"64",1,"Hiline","C",12,"Y",3,1,5
"65",1,"MTH","D",12,"Y",3,1,3.6
"66",1,"Vida","D",12,"Y",3,1,4.1
"67",1,"MTH","F",12,"Y",3,1,NA
"68",1,"Hiline","H",12,"Y",3,1,8.8
"69",1,"Vida","H",12,"Y",3,1,6.5
"70",1,"MTH","C",14,"Y",3,1,NA
"71",1,"Vida","C",14,"Y",3,1,7.5
"72",1,"Hiline","D",14,"Y",3,1,6.5
"73",1,"Hiline","F",14,"Y",3,1,NA
"74",1,"Vida","F",14,"Y",3,1,NA
"75",1,"Berkut","H",14,"Y",3,1,7.5
"76",1,"MTH","S",14,"Y",3,1,4.7
"77",1,"Vida","S",14,"Y",3,1,NA
"78",1,"MTH","C",12,"N",4,1,NA
"79",1,"Vida","C",12,"N",4,1,6.6
"80",1,"Hiline","D",12,"N",4,1,8.5
"81",1,"Vida","F",12,"N",4,1,6.5
"82",1,"MTH","H",12,"N",4,1,6.1
"83",1,"Berkut","S",12,"N",4,1,7
"84",1,"MTH","S",12,"N",4,1,8.1
"85",1,"Hiline","C",14,"N",4,1,NA
"86",1,"MTH","D",14,"N",4,1,8.8
"87",1,"Vida","D",14,"N",4,1,8.5
"88",1,"MTH","F",14,"N",4,1,NA
"89",1,"Hiline","H",14,"N",4,1,NA
