"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"110",3,"Hiline","H",12,"N",5,1,6
"111",3,"Hiline","S",12,"N",5,1,NA
"112",3,"Vida","C",14,"N",5,1,7.6
"113",3,"MTH","D",14,"N",5,1,7.8
"114",3,"MTH","F",14,"N",5,1,9.4
"115",3,"Vida","F",14,"N",5,1,8
"116",3,"MTH","H",14,"N",5,1,8.9
"117",3,"Vida","H",14,"N",5,1,5.5
"118",3,"MTH","S",14,"N",5,1,7.4
"119",3,"Vida","S",14,"N",5,1,8.9
"120",3,"Hiline","C",12,"Y",5,1,4
"121",3,"Hiline","F",12,"Y",5,1,3.8
"122",3,"Hiline","S",12,"Y",5,1,6.2
"123",3,"MTH","C",14,"Y",5,1,7.8
"124",3,"Vida","C",14,"Y",5,1,4.7
"125",3,"MTH","D",14,"Y",5,1,8.5
"126",3,"Vida","D",14,"Y",5,1,4.7
"127",3,"MTH","F",14,"Y",5,1,7.4
"128",3,"Vida","F",14,"Y",5,1,NA
"129",3,"MTH","H",14,"Y",5,1,7
"130",3,"Vida","H",14,"Y",5,1,7.3
"131",3,"MTH","S",14,"Y",5,1,7.4
"132",3,"Vida","S",14,"Y",5,1,NA
"133",3,"Hiline","C",12,"N",1,2,6
"134",3,"Hiline","D",12,"N",1,2,7
"135",3,"Hiline","F",12,"N",1,2,7.2
"136",3,"Hiline","H",12,"N",1,2,5
"137",3,"Hiline","S",12,"N",1,2,7
"138",3,"MTH","C",14,"N",1,2,8.7
"139",3,"Vida","C",14,"N",1,2,6.4
"140",3,"MTH","D",14,"N",1,2,9
"141",3,"Vida","D",14,"N",1,2,8.5
"142",3,"MTH","F",14,"N",1,2,7.3
"143",3,"MTH","H",14,"N",1,2,9
"144",3,"Vida","H",14,"N",1,2,7.7
"145",3,"MTH","S",14,"N",1,2,8.9
"146",3,"Vida","S",14,"N",1,2,7.7
"147",3,"Hiline","C",12,"Y",1,2,6.7
"148",3,"Hiline","D",12,"Y",1,2,7.8
"149",3,"Hiline","F",12,"Y",1,2,7.4
"150",3,"Hiline","H",12,"Y",1,2,6.5
"151",3,"Hiline","S",12,"Y",1,2,NA
"152",3,"MTH","C",14,"Y",1,2,4.7
"153",3,"Vida","C",14,"Y",1,2,8.1
"154",3,"MTH","D",14,"Y",1,2,9.5
"155",3,"Vida","F",14,"Y",1,2,NA
"156",3,"MTH","H",14,"Y",1,2,9.5
"157",3,"Vida","H",14,"Y",1,2,6.1
"158",3,"MTH","S",14,"Y",1,2,7.5
"159",3,"Vida","S",14,"Y",1,2,NA
