"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"1",2,"Berkut","C",12,"N",1,1,7.9
"2",2,"Berkut","D",12,"N",1,1,5.5
"3",2,"Hiline","D",12,"N",1,1,6.5
"4",2,"Berkut","F",12,"N",1,1,NA
"5",2,"Hiline","F",12,"N",1,1,6
"6",2,"Berkut","H",12,"N",1,1,7.7
"7",2,"Hiline","H",12,"N",1,1,5.4
"8",2,"Berkut","S",12,"N",1,1,8.3
"9",2,"Hiline","S",12,"N",1,1,NA
"10",2,"MTH","C",14,"N",1,1,NA
"11",2,"Vida","C",14,"N",1,1,7.6
"12",2,"MTH","D",14,"N",1,1,NA
"13",2,"Vida","D",14,"N",1,1,8.5
"14",2,"MTH","F",14,"N",1,1,NA
"15",2,"Vida","F",14,"N",1,1,5.4
"16",2,"MTH","H",14,"N",1,1,NA
"17",2,"Vida","H",14,"N",1,1,NA
"18",2,"MTH","S",14,"N",1,1,6.8
"19",2,"Berkut","C",12,"Y",1,1,NA
"20",2,"Hiline","C",12,"Y",1,1,6
"21",2,"Berkut","D",12,"Y",1,1,6.6
"22",2,"Hiline","D",12,"Y",1,1,5
"23",2,"Berkut","F",12,"Y",1,1,5
"24",2,"Hiline","F",12,"Y",1,1,6.4
"25",2,"Berkut","H",12,"Y",1,1,7.8
"26",2,"Hiline","H",12,"Y",1,1,NA
"27",2,"Berkut","S",12,"Y",1,1,NA
"28",2,"MTH","C",14,"Y",1,1,8
"29",2,"Vida","C",14,"Y",1,1,4.1
"30",2,"MTH","D",14,"Y",1,1,NA
"31",2,"Vida","D",14,"Y",1,1,NA
"32",2,"MTH","F",14,"Y",1,1,NA
"33",2,"Vida","F",14,"Y",1,1,7
"34",2,"MTH","H",14,"Y",1,1,8
"35",2,"Vida","H",14,"Y",1,1,5.2
"36",2,"MTH","S",14,"Y",1,1,NA
"37",2,"Vida","S",14,"Y",1,1,6.7
"38",2,"Berkut","C",12,"N",2,1,8.5
"39",2,"Berkut","D",12,"N",2,1,6
"40",2,"Hiline","D",12,"N",2,1,6
"41",2,"Berkut","F",12,"N",2,1,6
"42",2,"Hiline","F",12,"N",2,1,6.5
"43",2,"Berkut","H",12,"N",2,1,8.6
"44",2,"Berkut","S",12,"N",2,1,7.4
"45",2,"Hiline","S",12,"N",2,1,7
"46",2,"MTH","C",14,"N",2,1,NA
"47",2,"MTH","D",14,"N",2,1,7.3
"48",2,"Vida","D",14,"N",2,1,6.3
"49",2,"MTH","F",14,"N",2,1,NA
"50",2,"Vida","F",14,"N",2,1,8.4
"51",2,"MTH","H",14,"N",2,1,8
"52",2,"Vida","H",14,"N",2,1,8.2
"53",2,"MTH","S",14,"N",2,1,8.2
"54",2,"Berkut","C",12,"Y",2,1,8
"55",2,"Hiline","C",12,"Y",2,1,6.1
"56",2,"Berkut","D",12,"Y",2,1,7.6
"57",2,"Hiline","D",12,"Y",2,1,4.5
